Channel ID,Channel URL,Channel title
UCCezIgC97PvUuR4_gbFUs5g,http://www.youtube.com/channel/UCCezIgC97PvUuR4_gbFUs5g,Corey Schafer
UCChmJrVa8kDg05JfCmxpLRw,http://www.youtube.com/channel/UCChmJrVa8kDg05JfCmxpLRw,Darshil Parmar
UCCusbDhshjg9nNFeys9_QAQ,http://www.youtube.com/channel/UCCusbDhshjg9nNFeys9_QAQ,Vedant Sharma
UCDLXKjBJVkd9FUgihrslmcg,http://www.youtube.com/channel/UCDLXKjBJVkd9FUgihrslmcg,Stereo India
UCDetdM5XDZD1xrQHDPgEg5w,http://www.youtube.com/channel/UCDetdM5XDZD1xrQHDPgEg5w,Dictionary of Obscure Sorrows
UCDwLb8FClxNiMa7w6dCO7PQ,http://www.youtube.com/channel/UCDwLb8FClxNiMa7w6dCO7PQ,Google Small Business
UCE5wDMNEZElnuRDk6TDPOYg,http://www.youtube.com/channel/UCE5wDMNEZElnuRDk6TDPOYg,POWER OF STOCKS
UCEBb1b_L6zDS3xTUrIALZOw,http://www.youtube.com/channel/UCEBb1b_L6zDS3xTUrIALZOw,MIT OpenCourseWare
UCEaLb455dXAYSj5mYioW3pw,http://www.youtube.com/channel/UCEaLb455dXAYSj5mYioW3pw,Vidhu Vinod Chopra Films
UCFHtCB_FWXQ8GpjgfYcD8-g,http://www.youtube.com/channel/UCFHtCB_FWXQ8GpjgfYcD8-g,Passenger
UCFe-pfe0a9bDvWy74Jd7vFg,http://www.youtube.com/channel/UCFe-pfe0a9bDvWy74Jd7vFg,Massachusetts Institute of Technology (MIT)
UCFk__1iexL3T5gvGcMpeHNA,http://www.youtube.com/channel/UCFk__1iexL3T5gvGcMpeHNA,Looking Glass Universe
UCFqaprvZ2K5JOULCvr18NTQ,http://www.youtube.com/channel/UCFqaprvZ2K5JOULCvr18NTQ,How to Adult
UCG-KntY7aVnIGXYEBQvmBAQ,http://www.youtube.com/channel/UCG-KntY7aVnIGXYEBQvmBAQ,Thomas Frank
UCGLlbmSTaLNUPhDwsMe-SgQ,http://www.youtube.com/channel/UCGLlbmSTaLNUPhDwsMe-SgQ,Automobile Engineering
UCGwuxdEeCf0TIA2RbPOj-8g,http://www.youtube.com/channel/UCGwuxdEeCf0TIA2RbPOj-8g,Stanford Graduate School of Business
